runner_name,runner_place,runner_time,runner_score,runner_school
Maegan Murphy,109,22:23.0,109,Miami (Ohio) [SR]
Emma Tate,110,22:25.4,110,Purdue [FR]
Emily Burns,111,22:25.7,111,Milwaukee [FR]
Cayla Eckenroth,112,22:27.3,112,Ball State [JR]
Vivian Van Eck,113,22:28.3,113,Ball State [FR]
Claire Steigerwald,114,22:30.4,114,Toledo [SO]
Hailey Bowes,115,22:31.3,115,Ohio [JR]
Janine Orvis,116,22:32.0,116,IUPUI [JR]
Hannah Cummings,117,22:32.8,117,Ball State [SR]
Emily Deline,118,22:32.9,118,Eastern Michigan [SO]
Olivia Anaple,119,22:33.5,119,Akron [FR]
Rachel Kempf,120,22:33.7,120,Oakland [SO]
Katie Vitou,121,22:34.3,121,Miami (Ohio) [SO]
Emily Akin,122,22:34.9,122,Miami (Ohio) [SO]
Nicole Fleming,123,22:39.1,,Kent State [JR]
Heather Czarnecki,124,22:42.4,123,Oakland [JR]
Elizabeth Gurko,125,22:43.9,124,Akron [SO]
Meltem Yasar,126,22:44.9,125,Toledo [JR]
Leah Lisle,127,22:45.3,,Kent State [SO]
Madelyn Bartolone,128,22:46.7,126,Ohio [SO]
Katie Miller,129,22:46.9,127,Dayton [SO]
Riley Hansen,130,22:48.2,128,Milwaukee [SO]
Peyton Kneadler,131,22:49.1,129,Ball State [SR]
Anna Brandt,132,22:49.2,130,Cleveland St. [JR]
Annalise James,133,22:49.5,131,Western Michigan [FR]
Katerina Shuble,134,22:49.7,132,Bowling Green [SO]
Paisley Sipes,135,22:50.5,133,Western Michigan [SO]
Amanda Cusimano,136,22:51.9,134,Xavier (Ohio) [JR]
Michaela Ward,137,22:54.4,135,Indiana State [SR]
Hannah Russell,138,22:55.2,136,Xavier (Ohio) [SO]
Esme Davies,139,22:56.1,137,Eastern Michigan [FR]
Ashleigh Rowley,140,22:58.0,138,Youngstown St. [SO]
Molly Kearns,141,22:58.4,139,Wright State [SR]
Katrina Patterson,142,22:59.7,140,Cincinnati [JR]
Alaina Carpenter,143,23:01.0,141,Valparaiso [SO]
Juliana Stogsdill,144,23:01.6,142,Ball State [FR]
Riley Kwiatkowski,145,23:03.1,143,Toledo [JR]
Alyssa Thomas,146,23:03.5,144,Akron [JR]
Mia Beckham,147,23:04.5,145,Butler [SO]
Sarah Hunsley,148,23:07.1,146,Bowling Green [JR]
Maggie Sebest,149,23:10.9,147,Youngstown St. [SO]
Allison Holahan,150,23:11.8,148,Bowling Green [JR]
Madison Hughes,151,23:12.0,149,Milwaukee [FR]
Courtney Allen,152,23:14.4,150,Western Michigan [JR]
Rylee Penn,153,23:18.0,151,Cincinnati [SO]
Ellee Bullock,154,23:21.4,152,Cincinnati [SR]
Maddi Leigh,155,23:21.7,153,Oakland [JR]
Megan Aalberts,156,23:23.6,154,Bowling Green [SO]
Victoria Angelopoulos,157,23:24.4,155,Wright State [SR]
Jessica Hartman,158,23:25.5,156,Ohio [JR]
Elinor Tighe,159,23:26.1,157,Dayton [FR]
Katherine Germann,160,23:27.8,158,Valparaiso [SR]
Kalina Gardiner,161,23:28.1,159,Marquette [SR]
Rebecca McNamee,162,23:30.3,160,Western Michigan [JR]
Melissa Koziol,163,23:31.3,161,Ohio [SR]
Mackenzie Scott,164,23:31.9,162,Youngstown St. [SO]
Carina Weaver,165,23:33.7,163,Ohio [FR]
Tara Cassidy,166,23:34.5,164,Indiana State [SO]
