"runner_name","runner_time","runner_place","runner_school","runner_points"
"Tyler Wirth","32:48.3","104","Cincinnati [FR]","102"
"Aidan Harr","32:49.8","105","Akron [FR]","103"
"Jake Rethman","32:50.7","106","Toledo [FR]","104"
"Sean MacGregor","32:52.4","107","Dayton [SO]","105"
"Kyle Vernot","32:53.4","108","Dayton [SO]","106"
"Eric Baugh","32:54.2","109","Butler [SR]","107"
"Jack Hautz","32:55.2","110","Xavier (Ohio) [SR]","108"
"Samuel Moran","32:56.0","111","Purdue Fort Wayne [JR]","109"
"James McCann","32:56.5","112","Detroit Mercy [SR]","110"
"Daniel Browne","32:56.7","113","Milwaukee [SO]","111"
"Erik McKean","32:57.7","114","Ohio [SR]","112"
"Brady Harless","32:58.4","115","Xavier (Ohio) [JR]","113"
"Alexander Haffa","32:58.8","116","Bowling Green [FR]","114"
"Brennan Butche","32:58.8","117","IUPUI [FR]","115"
"Will Finch","32:58.9","118","Central Michigan [SO]","116"
"Scott Smith","32:59.3","119","Detroit Mercy [SR]","117"
"Colin Kane","33:01.5","120","Oakland [FR]","118"
"Daniel Lawton","33:02.9","121","Butler [SR]","119"
"Raymond Korir","33:05.3","122","Toledo [SO]","120"
"Spencer Currie","33:06.4","123","Milwaukee [SO]","121"
"Jeremiah Fitzgerald","33:09.0","124","Akron [SR]","122"
"Czar Tarr","33:09.5","125","Ohio [SO]","123"
"Austin Ohm","33:10.1","126","IUPUI [FR]","124"
"Craig Schumacher","33:11.4","127","Youngstown St. [JR]","125"
"Jack Worman","33:12.0","128","Valparaiso [SO]","126"
"Derek Basinger","33:14.4","129","Youngstown St. [JR]","127"
"Cesar Arellano","33:14.6","130","Bowling Green [SO]","128"
"Adam Rzentkowski","33:15.6","131","Central Michigan [FR]","129"
"Solomon Costa","33:19.7","132","Eastern Michigan [JR]","130"
"Shawn Slater","33:21.7","133","Oakland [FR]","131"
"Ignacio Veloz Bonill","33:23.1","134","Valparaiso [SO]","132"
"Jake Papish","33:24.0","135","Toledo [JR]","133"
"Payton Heinberg","33:25.1","136","Wis.-Green Bay [FR]","134"
"Brandon Christopher","33:25.9","137","Dayton [SO]","135"
"Tanner Delk","33:28.3","138","Toledo [FR]","136"
"Jacob Poling","33:29.0","139","Wright State [FR]","137"
"Jordan Janusiak","33:31.4","140","Marquette [SO]","138"
"Jakob Sayers","33:32.1","141","Central Michigan [FR]","139"
"Matthew Mangus","33:34.5","142","Youngstown St. [SO]","140"
"Nate Mallue","33:35.0","143","Ohio [SR]","141"
"Dakota Hundley","33:40.5","144","Detroit Mercy [SO]","142"
"Joshua Freitag","33:40.9","145","Milwaukee [SO]","143"
"Matt Hoak","33:41.9","146","Cincinnati [FR]","144"
"Greg Van Hollen","33:42.0","147","Marquette [FR]","145"
"Dustin Starnes","33:43.6","148","IUPUI [SO]","146"
"John Jaynes","33:44.1","149","Ohio [JR]","147"
"Colin Theis","33:45.2","150","Dayton [SR]","148"
"Ian Nadolski","33:46.7","151","Milwaukee [FR]","149"
"Ethan Sparks","33:47.9","152","Youngstown St. [SO]","150"
"Will Vanalstine","33:49.2","153","Xavier (Ohio) [FR]","151"
"Max Lehnhardt","33:50.6","154","Miami (Ohio) [SR]","152"
"Thomas Mueller","33:54.5","155","Detroit Mercy [JR]","153"
"Conner Johanssen","33:57.7","156","Dayton [FR]","154"
"Benjamin Bowers","33:58.3","157","Wright State [SO]","155"
"Charlie Ellenbecker","34:02.5","158","Milwaukee [SO]","156"
"Calan Gizelbach","34:04.5","159","Dayton [FR]","157"
"Ryan Guenthner","34:05.3","160","Cincinnati [JR]","158"
"Noah Perrin","34:09.6","161","Eastern Michigan [SO]","159"
"Cole Lovett","34:09.8","162","Youngstown St. [JR]","160"
"Nathan Izewski","34:12.4","163","Valparaiso [JR]","161"
"Brad Mallory","34:14.4","164","Oakland [SR]","162"
"Alex Barton","34:15.3","165","Purdue Fort Wayne [SR]","163"
"Eric Carothers","34:19.1","166","Valparaiso [FR]","164"
"Michael Oliver","34:31.3","167","Purdue Fort Wayne [FR]","165"
"Vince Manning","34:40.8","168","Bowling Green [FR]","166"
"Robert Peck","34:44.5","169","Purdue Fort Wayne [SR]","167"
"Kyle Schwieman","34:44.5","170","Oakland [JR]","168"
"Wyatt Stahl","34:47.1","171","Wright State [SR]","169"
"Max Pettit","34:47.1","172","Wright State [SO]","170"
"Adam Fraeyman","34:49.6","173","Detroit Mercy [SR]","171"
"Andrew Dietrich","34:51.1","174","Xavier (Ohio) [JR]","172"
"Joseph Johnson","34:54.0","175","Bowling Green [FR]","173"
"Ethan Emmert","34:54.0","176","Wright State [JR]","174"
"Lucas Houk","34:54.2","177","Xavier (Ohio) [FR]","175"
"Victor Fortin","34:56.6","178","Valparaiso [SR]","176"
"Enrique Hendrix","34:56.8","179","Evansville [SR]","177"
"Dawson Hood","35:11.1","180","Evansville [JR]","178"
"Jase Headings","35:13.9","181","Cincinnati [FR]","179"
"Jordan Perez","35:18.4","182","Xavier (Ohio) [SO]","180"
"Karter Tow","35:19.9","183","Purdue Fort Wayne [FR]","181"
"Oscar Hernandez","35:24.6","184","Detroit Mercy [FR]","182"
"Stanley Chepchieng","35:25.5","185","Evansville [SR]","183"
"Kevin Menyes","35:29.2","186","Xavier (Ohio) [SR]","184"
