runner_place,runner_name,runner_time,runner_points,runner_school
114,Riley Osen,32:05.6,95,Portland [JR]
115,Adam Hendrickson,32:05.8,96,Utah State [SR]
116,David Ahlmeyer,32:05.8,97,Furman [FR]
117,Issac Green,32:06.1,98,Washington [SO]
118,Caleb Garnica,32:06.3,99,Utah State [SO]
119,Cameron Ponder,32:06.4,100,Furman [SO]
120,Thomas George,32:07.3,,Missouri [SR]
121,Colin Burke,32:07.7,,UCLA [SR]
122,Matthew Carmody,32:07.7,101,Notre Dame [FR]
123,Jacob Lee,32:07.9,102,Michigan [JR]
124,Charlie O'Donovan,32:08.7,103,Villanova [SO]
125,Bailey McIntire,32:09.5,104,Purdue [SO]
126,Jake Brophy,32:09.9,,Navy [SR]
127,Alex Masai,32:10.6,,Hofstra [SR]
128,Matthew Schadler,32:11.2,105,Indiana [FR]
129,Kevin Salvano,32:11.9,106,Notre Dame [JR]
130,Brendan Fraser,32:12.7,107,Notre Dame [SO]
131,Jake Ogden,32:12.8,108,Furman [SR]
132,Myles Richter,32:14.0,109,Arkansas [FR]
133,Reuben Kiprono,32:14.0,110,Portland [JR]
134,Abraham Chirchir,32:14.8,,UT-Rio Grande Valley [SO]
135,Shuaib Aljabaly,32:15.1,111,Wisconsin [SO]
136,Christopher Henry,32:15.6,,Wyoming [SR]
137,Jacob Choge,32:16.0,112,Mid. Tenn. State [SR]
138,James Mwaura,32:16.2,,Gonzaga [SO]
139,Gabe Fendel,32:16.3,113,Colorado [FR]
140,Carter Christman,32:16.4,114,Oregon [JR]
141,Jamie Dee,32:16.6,115,Iona [SO]
142,Haftu Strintzos,32:17.2,116,Villanova [FR]
143,Charlie Hunter,32:17.8,117,Oregon [JR]
144,Julius Diehr,32:18.3,118,Washington [SR]
145,Jac Hopkins,32:18.7,119,Iona [JR]
146,Parker Scott,32:19.0,120,Ole Miss [JR]
147,Matt Young,32:19.1,121,Arkansas [JR]
148,Bryce Millar,32:19.1,122,Indiana [SR]
149,Ben Eidenschink,32:19.2,123,Wisconsin [SR]
150,Austin Vancil,32:19.6,124,Colorado [FR]
151,Theo Quax,32:20.3,125,Northern Arizona [FR]
152,Titus Cheruiyot,32:21.3,,UTEP [FR]
153,Florian Lussy,32:21.8,,North Texas [SR]
154,Connor Weaver,32:22.6,126,BYU [JR]
155,Jordan Brannan,32:23.5,127,Iona [SO]
156,Brody Smith,32:23.7,128,Purdue [JR]
157,Price Owens,32:24.7,129,Georgetown [FR]
158,Ares Reading,32:26.2,130,Furman [FR]
159,AJ Ernst,32:28.0,131,Virginia [JR]
160,Roberto Porras,32:28.1,132,Utah State [SO]
161,Brent Leber,32:28.2,,Lipscomb [SO]
162,Casey Comber,32:28.9,133,Villanova [SR]
163,Dustin Horter,32:29.0,134,Indiana [SO]
164,Josh Phillips,32:29.2,135,Villanova [SO]
165,George Kusche,32:31.1,,Nebraska [SO]
166,Alec Basten,32:31.7,,Minnesota [JR]
167,Seth Hirsch,32:31.8,136,Wisconsin [JR]
168,Elijah Armstrong,32:33.2,137,Boise State [JR]
169,Henry Mong,32:33.5,138,Boise State [SO]
170,Lachlan Cook,32:34.3,139,Virginia [JR]
171,Kigen Chemadi,32:35.3,140,Mid. Tenn. State [SR]
172,Tanis Baldwin,32:37.3,141,NC State [SR]
173,Kasey Knevelbaard,32:37.5,142,Florida State [SR]
174,David Too,32:39.4,143,Iowa State [SR]
175,Jack Yearian,32:40.0,144,Oregon [JR]
176,Jack Van Scoter,32:40.5,145,Georgetown [SR]
177,Cade Bethmann,32:41.6,146,Ole Miss [SO]
178,Noah Beveridge,32:42.3,147,Syracuse [FR]
179,Steven Cross,32:43.7,148,Florida State [SR]
180,Haftu Knight,32:44.4,149,Texas [FR]
181,Dominic Hockenbury,32:44.4,150,Syracuse [JR]
182,Antonio Lopez Segura,32:44.8,151,Virginia Tech [FR]
183,Thomas Ratcliffe,32:45.0,152,Stanford [JR]
184,Ben Hill,32:47.2,153,Michigan [SR]
185,Ed Goddard,32:47.7,154,Iona [SO]
186,Joe Horen,32:48.1,155,Portland [SR]
187,Crayton Carrozza,32:49.3,156,Texas [FR]
188,Matthias Cannon,32:50.1,157,Virginia Tech [FR]
